Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,30,LW,79,50,21,71,21,53,1604,20:19
Nicklas Backstrom,28,C,75,20,50,70,17,36,1439,19:11
Jay Beagle,30,RW,57,8,9,17,0,24,799,14:01
John Carlson,26,D,56,8,31,39,16,14,1327,23:42
Braden Holtby,26,G,66,0,1,1,0,6,3841,58:12
Dmitry Orlov,24,D,82,8,21,29,8,26,1314,16:02
Philipp Grubauer,24,G,22,0,0,0,0,2,1111,50:30
Evgeny Kuznetsov,23,C,82,20,57,77,27,32,1428,17:25
Tom Wilson,21,RW,82,7,16,23,3,163,1059,12:55
Matt Niskanen,29,D,82,5,27,32,10,38,2022,24:40
Brooks Orpik,35,D,41,3,7,10,11,24,812,19:49
Andre Burakovsky,20,LW,79,17,21,38,4,12,1029,13:01
T.J. Oshie,29,RW,80,26,25,51,16,34,1517,18:58
Chandler Stephenson,21,C,9,0,0,0,-3,2,71,7:51
